Party;Percentage
CDU;26.761283825307743
SPD;20.509592811227815
AfD;12.637048338914841
FDP;10.745034866578921
DIE LINKE;9.238985984367854
GRÜNE;8.778496899930262
CSU;6.170582544419203
FREIE WÄHLER;0.9956639297297601
Die PARTEI;0.9738821954792602
Tierschutzpartei;0.8026300293739481
NPD;0.37997622587138064
PIRATEN;0.37385239772277024
ÖDP;0.2975260185825931
BGE;0.20940137924177504
GRÜNE/B 90;0.1611826832331413
V-Partei³;0.1378936443716246
DM;0.13574987447549938
DiB;0.130789315648658
BP;0.12460958176554482
AD-DEMOKRATEN;0.088541782129031
Tierschutzallianz;0.06927580593115548
MLPD;0.06435180085379669
Gesundheitsforschung;0.05073875450237371
DKP;0.02518553339349507
MENSCHLICHE WELT;0.025056520160027154
Volksabstimmung;0.021274282198859407
Die Grauen;0.021231277787703437
BüSo;0.014481735456773611
ÖDP / Familie ;0.013765712011026674
Die Humanisten;0.012877670920655851
MG;0.012054136447018984
du;0.006489365643436192
DIE RECHTE;0.004450956554643114
SGP;0.0028941968707969236
B*;0.0020040055598683007
PDV;0.0011439173367488583
